site,name,employer,location,salary_min,salary_max,salary_currency,link
hh.ru,"Python-разработчик (Django, DRF)",ООО Фабрика Решений,,60000,150000,руб,https://sosnovoborsk.hh.ru/vacancy/39736489
hh.ru,Python Middle разработчик,AppEvent,,100000,130000,руб,https://sosnovoborsk.hh.ru/vacancy/70167801
hh.ru,Python разработчик,Домклик,,,,,https://sosnovoborsk.hh.ru/vacancy/68077706
hh.ru,"Программист Python, удаленно",Кадровое агентство ЕВА,,170000,,руб,https://sosnovoborsk.hh.ru/vacancy/69908838
hh.ru,Программист Python,Pentestit,,,,,https://sosnovoborsk.hh.ru/vacancy/69982059
hh.ru,Python Developer,ООО Пазл Групп,,150000,,руб,https://sosnovoborsk.hh.ru/vacancy/70342740
hh.ru,Программист Python (Senior),"Смарт Текнолоджис,ООО",,300000,,руб,https://sosnovoborsk.hh.ru/vacancy/69869831
hh.ru,Backend-разработчик Python middle+ / senior,БАРАНКА,,280000,340000,руб,https://sosnovoborsk.hh.ru/vacancy/69733791
hh.ru,"Python Django разработчик, удаленно",эдмин,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69308348
hh.ru,Python Developer (Remote),ООО АСД Технолоджиз,,200000,350000,руб,https://sosnovoborsk.hh.ru/vacancy/69245657
hh.ru,Python Developer (Remote),ООО АСД Технолоджиз,,200000,350000,руб,https://sosnovoborsk.hh.ru/vacancy/69245658
hh.ru,Python разработчик,ANCOR,,,,,https://sosnovoborsk.hh.ru/vacancy/69988089
hh.ru,Python-разработчик в R&D отдел,ООО Селфсек,,100000,150000,руб,https://sosnovoborsk.hh.ru/vacancy/49299311
hh.ru,Python-разработчик,ООО ДЖАСТ ВОРК,,120000,190000,руб,https://sosnovoborsk.hh.ru/vacancy/70228011
hh.ru,Python-разработчик систем сбора,ООО Селфсек,,100000,150000,руб,https://sosnovoborsk.hh.ru/vacancy/49299293
hh.ru,Python разработчик (личный кабинет пользователя),ООО Ритм,,,,,https://sosnovoborsk.hh.ru/vacancy/70178817
hh.ru,"Python Django разработчик, удаленно",эдмин,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69308350
hh.ru,Python Developer (Remote),ООО АСД Технолоджиз,,200000,350000,руб,https://sosnovoborsk.hh.ru/vacancy/69245659
hh.ru,Middle Python разработчик (удаленно),ООО Каналсервис,,100000,120000,руб,https://sosnovoborsk.hh.ru/vacancy/69385666
hh.ru,Middle BackEnd разработчик (Python),ООО Верме,,,,,https://sosnovoborsk.hh.ru/vacancy/69604543
hh.ru,Python/Django разработчик,Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69991945
hh.ru,"Python Django разработчик, удаленно",эдмин,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69308347
hh.ru,Программист Python NLP SpaCy,ООО Столичный Деловой Клуб,,200000,,руб,https://sosnovoborsk.hh.ru/vacancy/70348691
hh.ru,Python backend developer (middle),ООО МКК Папазайм,,,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69904506
hh.ru,Разработчик Python (по написанию парсеров),ООО Maxima,,,,,https://sosnovoborsk.hh.ru/vacancy/70395301
hh.ru,"Python Django разработчик, удаленно",эдмин,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69308349
hh.ru,Администратор Linux/разработчик Python,ООО Сервионика,,,,,https://sosnovoborsk.hh.ru/vacancy/70407084
hh.ru,Python Senior / TechLead,Spice Agency,,,400000,руб,https://sosnovoborsk.hh.ru/vacancy/67906505
hh.ru,Middle/Senior Python разработчик (удаленно),StormWall™,,,250000,руб,https://sosnovoborsk.hh.ru/vacancy/69896075
hh.ru,"Python-разработчик (middle), удаленно",ООО Транспарент Дил,,,,,https://sosnovoborsk.hh.ru/vacancy/69951210
hh.ru,Middle/Middle+ Backend Developer (Python),Funduck,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69569674
hh.ru,Специалист по тестированию АФТ (Python),ООО ИЦ АЙ-ТЕКО,,,,,https://sosnovoborsk.hh.ru/vacancy/70340197
hh.ru,Python developer,EX CORP.,,,,,https://sosnovoborsk.hh.ru/vacancy/69774571
hh.ru,"Data Engineer (Python), remote",Wise Wolves Group,,,,,https://sosnovoborsk.hh.ru/vacancy/70172156
hh.ru,Fullstack техлид (Python),Russian Quantum Center,,250000,450000,руб,https://sosnovoborsk.hh.ru/vacancy/69700470
hh.ru,Python Developer (Middle+),Karta.,,,4000,USD,https://sosnovoborsk.hh.ru/vacancy/69576307
hh.ru,Старший Python разработчик,Enjoypro,,180000,250000,руб,https://sosnovoborsk.hh.ru/vacancy/69389202
hh.ru,Python разработчик (дистанционно),Programming Store,,,200000,руб,https://sosnovoborsk.hh.ru/vacancy/70194277
hh.ru,Программист Python,Humans,,180000,,руб,https://sosnovoborsk.hh.ru/vacancy/70062000
hh.ru,"Разработчик Python (Django, DFR)",INNOVA GROUP,,200000,,руб,https://sosnovoborsk.hh.ru/vacancy/69163405
hh.ru,Fullstack Python-разработчик,SmartC,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69604920
hh.ru,Python Developer,ООО Axenix (ранее Accenture),,,,,https://sosnovoborsk.hh.ru/vacancy/68894704
hh.ru,Ведущий Python разработчик,"билайн: ИТ, Data, Digital",,,,,https://sosnovoborsk.hh.ru/vacancy/69984876
hh.ru,Automation QA (Java\Python),ООО Рукс Солюшенс,,180000,280000,руб,https://sosnovoborsk.hh.ru/vacancy/69370542
hh.ru,Backend разработчик (Python),АО ИОТ,,150000,,руб,https://sosnovoborsk.hh.ru/vacancy/67764198
hh.ru,Python Backend Developer (Middle/Remote),JetLend,,,250000,руб,https://sosnovoborsk.hh.ru/vacancy/70080658
hh.ru,Python (Django ORM) разработчик,Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/68336916
hh.ru,Специалист по автотестированию (Python),Ростелеком-Солар,,,,,https://sosnovoborsk.hh.ru/vacancy/70309990
hh.ru,Fullstack Python-разработчик,SmartC,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69604918
hh.ru,Fullstack Python-разработчик,SmartC,,150000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69604919
